V_0,T,M,P,C_P,C_T,omega,pitch
3.0,263301.2152028959,163037.43511617254,85366.40628239838,0.11410502673918477,1.0558248909459256,0.5236000322353602,2.426047
5.0,686854.858803013,2879088.173230267,1507490.6603118123,0.435237351933769,0.991531482677418,0.5236000322353602,0.377375
7.0,1037838.0658579661,8746310.330314513,4579568.370893143,0.48185011764604824,0.7643901074100018,0.5236000322353602,0.000535
8.0,1348443.1321491082,11479434.16467209,6830345.711452364,0.4814534097772163,0.7603861605720252,0.5950071766143948,0.000535
9.0,1706303.5004834821,14531132.712325025,9724930.52965203,0.4814381720741313,0.7602436564400503,0.6692479328472123,0.000535
10.0,2106832.5235434137,17937465.86323591,13340401.664220324,0.4814491763473948,0.760346508817928,0.7437171875857007,0.000535
10.5,2323715.5288003553,19768685.753836285,15000000.0,0.46763273413236933,0.7606518122551282,0.7812469675847499,0.00066
10.7,2400520.5720704366,20625222.732930798,15000000.0,0.4418974222537366,0.7566924817103602,0.7916799873478112,0.000783
11.0,2302073.8225366427,21736112.59087541,15000000.0,0.4067192666040451,0.686618369631681,0.7916799873478112,1.170321
13.0,1919187.8021586959,25261596.851331636,15000000.0,0.24640115787436692,0.4098380837462289,0.7916799873478112,6.052129
15.0,1749742.8164889493,27944262.800161645,15000000.0,0.1603980278074027,0.28065529693499763,0.7916799873478112,9.189114
17.0,1643086.0411965766,30427072.321078494,15000000.0,0.11018590349073562,0.2051842426238956,0.7916799873478112,11.824437
19.0,1567761.2077283505,32799731.807401747,15000000.0,0.07892452891820734,0.15673076538318648,0.7916799873478112,14.19975
21.0,1508347.280635497,35024269.91043894,15000000.0,0.058454091766546167,0.12343669850132279,0.7916799873478112,16.42107
23.0,1456397.9187551122,37116566.85669313,15000000.0,0.04449275448754698,0.09935870438752992,0.7916799873478112,18.525951
25.0,1429307.6298944454,39415973.36220716,15000000.0,0.03464597400639898,0.08253292498745116,0.7916799873478112,20.553121
